station_name,lat,lng
Western Ave & Monroe St,41.8797915,-87.68609766666667
Halsted St & Archer Ave,41.847203,-87.646795
State St & 29th St,41.841707,-87.626938
Calumet Ave & 51st St,41.80229465088,-87.6180535802
Calumet Ave & 21st St,41.85418424947,-87.6191537415
McCormick Place,41.8516385,-87.61885
Lincoln Ave & Peterson Ave,41.99,-87.71
Western Ave & 21st St,41.854109,-87.685838
Jeffery Blvd & 67th St,41.77351755125,-87.5771428255
South Shore Dr & 67th St,41.773643,-87.567514
Damen Ave & Coulter St,41.8492,-87.67564
Racine Ave & 15th St,41.861251333333335,-87.65650016666666
Sheridan Rd & Greenleaf Ave,42.01058656284,-87.6624120948
Kilpatrick Ave & Parker Ave,41.93,-87.74
Damen Ave & Cullerton St,41.854966518753926,-87.67569959163664
Western Ave & 24th St,41.84847,-87.685109
Long & Irving Park,41.95,-87.76
Central Park Ave & Ogden Ave,41.85388583333334,-87.71498416666667
LaSalle St & Adams St,41.87934437346,-87.6319852213
Bernard St & Elston Ave,41.94996183333333,-87.71397116666667
Michigan Ave & 18th St,41.857813,-87.62455
Canal St & Monroe St,41.88169,-87.63953
Kedzie Ave & George St,41.93,-87.71
Warren Park West,42.001785,-87.688829
South Shore Dr & 74th St,41.76218896038,-87.55927465
Sawyer Ave & Irving Park Rd,41.95358617895,-87.7093107999
Drake Ave & Montrose Ave,41.96115407569,-87.7165690733
Cicero Ave & Quincy St,41.877578497,-87.745353103
Dorchester Ave & 63rd St,41.7804056457,-87.5914159893
Central Ave & Parker Ave,41.93,-87.77
Clark St & Touhy Ave,42.01256011541,-87.6743671152
St. Louis Ave & Fullerton Ave,41.92481559681187,-87.71449506282805
Lavergne & Fullerton,41.92,-87.75
Cherry Ave & Blackhawk St,41.907221,-87.655618
California Ave & Montrose Ave,41.961154666666665,-87.69542666666666
Mulligan Ave & Wellington Ave,41.93,-87.78
Meade Ave & Addison St,41.95,-87.78
Maplewood Ave & Peterson Ave,41.99023602867,-87.6933696402
Pulaski Rd & 21st St,41.85,-87.72
Drake Ave & Addison St,41.947326,-87.717582
Francisco Ave & Hollywood Ave,41.98,-87.7
Narragansett & Wrightwood,41.93,-87.79
Ashland Ave & Archer Ave,41.83919266666667,-87.66568933333333
